#,Deutsch,Anonym,Bedeutung,Beispiel,Meaning
1,abenteuerlich,langweilig,adventurous,Er unternimmt eine abenteuerliche Reise.,He is going on an adventurous trip.
2,abgelenkt,konzentriert,distracted,Er war abgelenkt und hat den Fehler gemacht.,He was distracted and made the mistake.
3,abgeschlossen,offen,"concluded, finished",Das Projekt ist jetzt abgeschlossen.,The project is now concluded.
4,absichtlich,unabsichtlich,intentional,Er hat es absichtlich gemacht.,He did it intentionally.
5,aggressiv,friedlich,aggressive,Sein Verhalten war sehr aggressiv.,His behavior was very aggressive.
6,akademisch,praktisch,academic,Das ist eine akademische Diskussion.,That is an academic discussion.
7,aktiv,passiv,active,Sie ist eine sehr aktive Sportlerin.,She is a very active athlete.
8,aktuell,veraltet,"current, up-to-date",Das ist die aktuelle Version.,That is the current version.
9,allein,zusammen,alone,Er reist gern allein.,He likes to travel alone.
10,alltäglich,festlich,"everyday, ordinary",Das ist eine alltägliche Sache.,That is an everyday thing.
11,alt,jung,old,Mein Haus ist sehr alt.,My house is very old.
12,angenehm,unangenehm,pleasant,Das Wetter ist angenehm.,The weather is pleasant.
13,angepasst,unangepasst,"adapted, adjusted",Er hat sich schnell angepasst.,He adapted quickly.
14,anspruchsvoll,anspruchslos,demanding,Die Arbeit ist anspruchsvoll.,The work is demanding.
15,anständig,unanständig,"decent, proper",Er ist ein anständiger Mann.,He is a decent man.
16,anstrengend,entspannend,exhausting,Die Arbeit ist sehr anstrengend.,The work is very exhausting.
17,anwesend,abwesend,present,Alle Schüler waren anwesend.,All students were present.
18,anziehend,abstoßend,"attractive, appealing",Das Kleid ist sehr anziehend.,The dress is very attractive.
19,arm,reich,poor,Er ist ein armer Mann.,He is a poor man.
20,atmosphärisch,sachlich,atmospheric,Die Stimmung im Raum war sehr atmosphärisch.,The atmosphere in the room was very atmospheric.
21,aufmerksam,unaufmerksam,attentive,Der Hund ist sehr aufmerksam.,The dog is very attentive.
22,aufregend,langweilig,exciting,Das war ein aufregender Film.,That was an exciting film.
23,ausführlich,kurz,detailed,Er gab eine ausführliche Erklärung.,He gave a detailed explanation.
24,ausgeglichen,unausgeglichen,balanced,Sie ist eine sehr ausgeglichene Person.,She is a very balanced person.
25,ausgezeichnet,schlecht,excellent,Das Essen war ausgezeichnet.,The food was excellent.
26,ausschließlich,einschließlich,exclusive,Das ist ein ausschließliches Recht.,That is an exclusive right.
27,begabt,unbegabt,"talented, gifted",Er ist musikalisch sehr begabt.,He is very talented in music.
28,begehrt,unbeliebt,sought-after,Dieses Produkt ist sehr begehrt.,This product is very sought-after.
29,begeistert,gelangweilt,excited,Sie ist begeistert von der Idee.,She is excited about the idea.
