#,,Deutsch,Bedeutung ,Beispiel,Example,Takeaway
1,der,"Aal, e",eel,Der Aal schwimmt im Fluss.,The eel swims in the river.,
2,die,"Abbildung, en","illustration, figure",Die Abbildung auf Seite 5 zeigt eine Karte.,The illustration on page 5 shows a map.,
3,der,"Abend, e",evening,Wir treffen uns am Abend.,We meet in the evening.,
4,das,"Abendessen, -","dinner, supper",Das Abendessen ist fertig.,Dinner is ready.,
5,der,"Abendkurs, e",evening course,Ich besuche einen Abendkurs.,I am attending an evening course.,
6,das,"Abenteuer, -",adventure,Er liebt das Abenteuer.,He loves adventure.,
7,der,"Abflug, Abflüge",departure (by plane),Der Abflug ist um 10 Uhr.,The departure is at 10 a.m.,
8,das,"Abitur, -","A-levels, high school diploma",Er hat sein Abitur gemacht.,He got his high school diploma.,
9,die,"Absage, n","cancellation, refusal",Ich habe eine Absage bekommen.,I received a cancellation.,
10,der,"Absender, -",sender,Wer ist der Absender dieses Briefes?,Who is the sender of this letter?,
11,der,"Abschied, e",farewell,Wir haben Abschied genommen.,We said farewell.,
12,die,"Abteilung, en","department, section",Sie arbeitet in der Verkaufsabteilung.,She works in the sales department.,
13,die,Abwehr,"defense, immune system",Das Immunsystem dient der Abwehr von Krankheiten.,The immune system serves to defend against diseases.,
14,die,"Acht, en",eight,Wir sind zu acht.,There are eight of us.,
15,die,"Adresse, n",address,Was ist deine Adresse?,What is your address?,
16,der,"Advent, e",Advent,Im Advent backen wir Plätzchen.,"In Advent, we bake cookies.",
17,die,"Adoption, en",adoption,Die Adoption war eine gute Entscheidung.,The adoption was a good decision.,
18,der,"Affe, n",monkey,Der Affe isst eine Banane.,The monkey is eating a banana.,
19,die,"Agentur, en",agency,Er arbeitet für eine Werbeagentur.,He works for an advertising agency.,
20,die,"Ahnung, en","idea, clue",Ich habe keine Ahnung.,I have no idea.,
21,die,"Ähre, n",ear (of grain),Die Ähren sind reif.,The ears of grain are ripe.,
22,die,Akropolis,Acropolis,Die Akropolis liegt in Athen.,The Acropolis is in Athens.,
23,die,"Aktion, en",action,Wir planen eine Aktion.,We are planning an action.,
24,die,"Aktivität, en",activity,Was sind deine Freizeitaktivitäten?,What are your leisure activities?,
25,der,"Akzent, e",accent,Er spricht mit einem starken Akzent.,He speaks with a strong accent.,
26,das,"Album, Alben",album,Ich zeige dir mein Fotoalbum.,I'll show you my photo album.,
27,das,Allerlei (pl),all sorts of things,Das ist ein Allerlei von Ideen.,That's a mix of all sorts of ideas.,
28,die,"Allergie, n",allergy,Ich habe eine Allergie gegen Nüsse.,I have an allergy to nuts.,
29,der,"Allgemeinarzt, ärzte",general practitioner,Ich gehe zum Allgemeinarzt.,I am going to the general practitioner.,
30,die,"Allgemeinärztin, nen",general practitioner (female),Die Allgemeinärztin ist sehr nett.,The female general practitioner is very nice.,
31,der,"Alltag, e",everyday life,Das ist mein Alltag.,That is my everyday life.,
32,das,"Alphabet, e",alphabet,Das deutsche Alphabet hat 26 Buchstaben.,The German alphabet has 26 letters.,
33,der,"Altbau, en",old building,Wir wohnen in einem Altbau.,We live in an old building.,
34,das,"Alter, -",age,Welches Alter hat er?,What is his age?,
35,die,"Altstadt, Altstädte",old town,Wir bummeln durch die Altstadt.,We are strolling through the old town.,
36,der,"Almanach, e",almanac,Er liest einen alten Almanach.,He is reading an old almanac.,
37,die,Alpen,Alps,Wir fahren in die Alpen.,We are driving to the Alps.,
38,die,"Ampel, n",traffic light,Die Ampel ist rot.,The traffic light is red.,
39,der,"Alptraum, -träume",nightmare,Ich hatte einen Alptraum.,I had a nightmare.,
40,das,"Amt, Ämter","office, public authority",Das ist ein Amt für Steuern.,That is a tax office.,
41,die,"Ananas, -",pineapple,Ich esse gerne Ananas.,I like to eat pineapple.,
42,der,"Anfang, Anfänge",beginning,Am Anfang war alles schwer.,"In the beginning, everything was difficult.",
43,der,"Anfänger, -",beginner,Er ist ein Anfänger im Tennis.,He is a beginner at tennis.,
44,die,"Anforderung, en","requirement, demand",Die Anforderungen sind hoch.,The requirements are high.,
45,die,"Angabe, n","statement, detail",Ich brauche genaue Angaben.,I need exact details.,
46,das,"Angebot, e","offer, special",Das Angebot ist super.,The offer is great.,
47,der,"Anger, -","village green, common",Wir spielen auf dem Anger.,We are playing on the village green.,
48,der,Angst,fear,Ich habe Angst vor Spinnen.,I have a fear of spiders.,
49,die,"Angelegenheit, en","matter, affair",Das ist eine private Angelegenheit.,That is a private matter.,
50,der,"Angestellte, n",employee,Sie ist eine Angestellte in der Bank.,She is an employee at the bank.,
51,die,"Ankunft, künfte",arrival,Die Ankunft ist um 15 Uhr.,The arrival is at 3 p.m.,
52,der,Anker,anchor,Der Anker des Schiffes ist gefallen.,The ship's anchor has dropped.,
53,die,"Anlage, n","facility, system, investment",Die Anlage ist sehr modern.,The facility is very modern.,
54,der,"Anlass, lässe","occasion, reason",Zu welchem Anlass feierst du?,For what occasion are you celebrating?,
55,die,"Anleitung, en","instruction, manual",Die Anleitung ist leicht zu verstehen.,The instructions are easy to understand.,
56,die,"Anmeldung, en",registration,Die Anmeldung für den Kurs ist online.,The registration for the course is online.,
57,die,"Anrede, n",salutation,Die Anrede im Brief lautet „Sehr geehrte Damen und Herren“.,"The salutation in the letter is ""Dear Sir or Madam.""",
58,der,"Anruf, e","call, phone call",Ich habe einen Anruf bekommen.,I received a call.,
59,der,"Anrufbeantworter, -",answering machine,Der Anrufbeantworter nimmt die Nachricht auf.,The answering machine is recording the message.,
60,der,"Anrufer, -",caller,Der Anrufer hat eine Nachricht hinterlassen.,The caller left a message.,
61,der,"Anschluss, lüsse",connection,Ich habe den Anschluss verpasst.,I missed the connection.,
62,die,"Ansicht, en","view, opinion",Das ist meine Ansicht.,That is my opinion.,
63,die,"Anspannung, en",tension,Er fühlt eine große Anspannung.,He feels a great tension.,
64,die,"Ansprache, n",speech,Der Chef hält eine Ansprache.,The boss is giving a speech.,
65,der,"Antrag, Anträge","application, proposal",Ich stelle einen Antrag.,I am submitting an application.,
66,die,"Antwort, en",answer,Gib mir bitte eine Antwort.,Please give me an answer.,
67,die,"Anweisung, en","instruction, directive",Befolge die Anweisungen.,Follow the instructions.,
68,die,"Anzeige, n","advertisement, ad",Ich habe die Anzeige in der Zeitung gesehen.,I saw the ad in the newspaper.,
69,der,"Anzug, Anzüge",suit,Er trägt einen grauen Anzug.,He is wearing a gray suit.,
70,der,"Apfel, Äpfel",apple,Der Apfel ist rot.,The apple is red.,
71,die,"Apfelsaftschorle, n",apple spritzer,Ich bestelle eine Apfelsaftschorle.,I'm ordering an apple spritzer.,
72,die,"Apotheke, n",pharmacy,Die Apotheke ist um die Ecke.,The pharmacy is around the corner.,
73,der,"Apotheker, -",pharmacist,Der Apotheker gibt mir das Medikament.,The pharmacist gives me the medicine.,
74,die,"Apothekerin, nen",pharmacist (female),Die Apothekerin berät mich.,The female pharmacist is advising me.,
75,das,"Appartement, s",apartment,Ich miete ein kleines Appartement.,I am renting a small apartment.,
76,der,"Appetit, e",appetite,Guten Appetit!,Enjoy your meal!,
77,der,"April, e",April,Im April blühen die Blumen.,"In April, the flowers bloom.",
78,die,"Arbeit, en","work, job",Sie hat eine neue Arbeit.,She has a new job.,
79,der,"Arbeitgeber, -",employer,Mein Arbeitgeber ist sehr nett.,My employer is very nice.,
80,die,"Arbeitgeberin, nen",employer (female),Meine Arbeitgeberin ist sehr nett.,My female employer is very nice.,
81,der,"Arbeitnehmer, -",employee,Er ist ein guter Arbeitnehmer.,He is a good employee.,
82,die,"Arbeitnehmerin, nen",employee (female),Sie ist eine gute Arbeitnehmerin.,She is a good employee.,
83,die,"Arbeitswelt, en",working world,Die Arbeitswelt hat sich verändert.,The working world has changed.,
84,das,"Arbeitszimmer, -","home office, study",Das Arbeitszimmer ist klein.,The home office is small.,
85,das,"Archiv, e",archive,Die Dokumente sind im Archiv.,The documents are in the archive.,
86,der,"Architekt, en",architect,Der Architekt plant das Haus.,The architect is planning the house.,
87,die,"Architektin, nen",architect (female),Die Architektin ist sehr kreativ.,The female architect is very creative.,
88,der,Ärger,"anger, trouble",Ich hatte Ärger mit meinem Chef.,I had trouble with my boss.,
89,die,Armut,poverty,Die Armut ist ein großes Problem.,Poverty is a big problem.,
90,der,"Arm, e",arm,Mein rechter Arm tut weh.,My right arm hurts.,
91,der,"Artikel, -",article,Der Artikel in der Zeitung ist interessant.,The article in the newspaper is interesting.,
92,der,"Arzt, Ärzte",doctor,Ich gehe zum Arzt.,I am going to the doctor.,
93,der,"Arzthelfer, -",medical assistant,Der Arzthelfer hat mir geholfen.,The medical assistant helped me.,
94,die,"Arzthelferin, nen",medical assistant (female),Die Arzthelferin macht einen Termin.,The female medical assistant is making an appointment.,
95,die,"Ärztin, nen",doctor (female),Meine Ärztin ist sehr gut.,My doctor is very good.,
96,der,"Asiat, en",Asian (male),Er ist ein Asiat.,He is an Asian.,
97,das,"Ass, e",ace,Er hat ein Ass auf der Hand.,He has an ace in his hand.,
98,das,"Atelier, s",studio,Sie malt in ihrem Atelier.,She paints in her studio.,
