,,,,,,,,Präsens,,,,,,Präteritum,,,,,,,,,
#,Type,Deutsche ,Bedeutung,Beispiel,Example,Ref,Prep,ich,du,er/sie/es,wir,ihr,sie/Sie,ich,du,er/sie/es,wir,ihr,sie/Sie,Partizip 2,Takeaway,Synonym,Anonym
1,unr,ab.  fahren ,to depart (by vehicle),Der Zug fährt um 8 Uhr ab.,The train departs at 8 o’clock.,,,fahre.  ab,fährst.  ab,fährt.  ab,fahren.  ab,fahrt.  ab,fahren.  ab,fuhr.  ab,fuhrst.  ab,fuhr.  ab,fuhren.  ab,fuhrt.  ab,fuhren.  ab,abgefahren ,,,
2,reg,ab.  holen,to pick up,Ich hole dich am Bahnhof ab.,I'll pick you up at the train station.,,,hole. ab,holst. ab,holt. ab,holen. ab,holt. ab,holen. ab,holte. ab,holtest. ab,holte. ab,holten. ab,holtet. ab,holten. ab,abgeholt,,,
3,reg,ab.  kühlen,to cool down,Die Suppe muss abkühlen.,The soup has to cool down.,,,kühle. ab,kühlst. ab,kühlt. ab,kühlen. ab,kühlt. ab,kühlen. ab,kühlte. ab,kühltest. ab,kühlte. ab,kühlten. ab,kühltet. ab,kühlten. ab,abgekühlt,,,
4,unr,ab.  messen,to measure,Er misst die Länge des Tisches ab.,He is measuring the length of the table.,,,messe. ab,misst. ab,misst. ab,messen. ab,messt. ab,messen. ab,maß. ab,maßt. ab,maß. ab,maßen. ab,maßt. ab,maßen. ab,abgemessen,,,
5,unr,ab.  nehmen,to lose weight/to take off,Ich möchte abnehmen.,I want to lose weight.,,,nehme. ab,nimmst. ab,nimmt. ab,nehmen. ab,nehmt. ab,nehmen. ab,nahm. ab,nahmst. ab,nahm. ab,nahmen. ab,nahmt. ab,nahmen. ab,abgenommen,,,
6,reg,ab.  rechnen,to settle accounts / bill,Wir müssen am Monatsende abrechnen.,We have to settle accounts at the end of the month.,,,rechne. ab,rechnest. ab,rechnet. ab,rechnen. ab,rechnet. ab,rechnen. ab,rechnete. ab,rechnetest. ab,rechnete. ab,rechneten. ab,rechnetet. ab,rechneten. ab,abgerechnet,,,
7,reg,ab.  sagen,to cancel,Er hat das Meeting abgesagt.,He canceled the meeting.,,,sage. ab,sagst. ab,sagt. ab,sagen. ab,sagt. ab,sagen. ab,sagte. ab,sagtest. ab,sagte. ab,sagten. ab,sagtet. ab,sagten. ab,abgesagt,,,
8,reg,ab.  schalten,to switch off,Ich schalte das Licht ab.,I switch off the light.,,,schalte. ab,schaltest. ab,schaltet. ab,schalten. ab,schaltet. ab,schalten. ab,schaltete. ab,schaltetest. ab,schaltete. ab,schalteten. ab,schaltetet. ab,schalteten. ab,abgeschaltet,,,
9,reg,abonnieren,to subscribe,Ich abonniere eine Zeitung.,I am subscribing to a newspaper.,,,abonniere,abonnierst,abonniert,abonnieren,abonniert,abonnieren,abonnierte,abonniertest,abonnierte,abonnierten,abonniertet,abonnierten,abonniert,,,
10,reg,absolvieren,to complete/to graduate,Er absolviert sein Studium.,He is completing his studies.,,,absolviere,absolvierst,absolviert,absolvieren,absolviert,absolvieren,absolvierte,absolviertest,absolvierte,absolvierten,absolviertet,absolvierten,absolviert,,,
11,reg,achten ,to pay attention,Du musst auf den Verkehr achten.,You must pay attention to the traffic.,,auf,achte,achtest,achtet,achten,achtet,achten,achtete,achtetest,achtete,achteten,achtetet,achteten,geachtet,,,
