,,,Präsens,,,,,,Präteritum,,,,,,,,,,,,,,,
#,Type,Deutsche ,ich,du,er/sie/es,wir,ihr,sie/Sie,ich,du,er/sie/es,wir,ihr,sie/Sie,Partizip 2,Ref,Prep,Bedeutung,Bedeutung (To Compare),Beispiel,Example,Takeaway,Synonym,Anonym
1,unr,ab.  fahren ,fahre.  ab,fährst.  ab,fährt.  ab,fahren.  ab,fahrt.  ab,fahren.  ab,fuhr.  ab,fuhrst.  ab,fuhr.  ab,fuhren.  ab,fuhrt.  ab,fuhren.  ab,abgefahren ,,,depart,to depart (by vehicle),Der Zug fährt um 8 Uhr ab.,The train departs at 8 o’clock.,,,
2,reg,ab.  holen,hole. ab,holst. ab,holt. ab,holen. ab,holt. ab,holen. ab,holte. ab,holtest. ab,holte. ab,holten. ab,holtet. ab,holten. ab,abgeholt,,,ab. holen,to pick up,Ich hole dich am Bahnhof ab.,I'll pick you up at the train station.,,,
3,reg,ab.  kühlen,kühle. ab,kühlst. ab,kühlt. ab,kühlen. ab,kühlt. ab,kühlen. ab,kühlte. ab,kühltest. ab,kühlte. ab,kühlten. ab,kühltet. ab,kühlten. ab,abgekühlt,,,ab. kühlen,to cool down,Die Suppe muss abkühlen.,The soup has to cool down.,,,
4,unr,ab.  messen,messe. ab,misst. ab,misst. ab,messen. ab,messt. ab,messen. ab,maß. ab,maßt. ab,maß. ab,maßen. ab,maßt. ab,maßen. ab,abgemessen,,,ab. messen,to measure,Er misst die Länge des Tisches ab.,He is measuring the length of the table.,,,
5,unr,ab.  nehmen,nehme. ab,nimmst. ab,nimmt. ab,nehmen. ab,nehmt. ab,nehmen. ab,nahm. ab,nahmst. ab,nahm. ab,nahmen. ab,nahmt. ab,nahmen. ab,abgenommen,,,ab. nehmen,to lose weight/to take off,Ich möchte abnehmen.,I want to lose weight.,,,
6,reg,ab.  rechnen,rechne. ab,rechnest. ab,rechnet. ab,rechnen. ab,rechnet. ab,rechnen. ab,rechnete. ab,rechnetest. ab,rechnete. ab,rechneten. ab,rechnetet. ab,rechneten. ab,abgerechnet,,,"get even, invoice",to settle accounts / bill,Wir müssen am Monatsende abrechnen.,We have to settle accounts at the end of the month.,,,
7,reg,ab.  sagen,sage. ab,sagst. ab,sagt. ab,sagen. ab,sagt. ab,sagen. ab,sagte. ab,sagtest. ab,sagte. ab,sagten. ab,sagtet. ab,sagten. ab,abgesagt,,,"beg off, call off, cancel, refuse, reject, decline",to cancel,Er hat das Meeting abgesagt.,He canceled the meeting.,,,
8,reg,ab.  schalten,schalte. ab,schaltest. ab,schaltet. ab,schalten. ab,schaltet. ab,schalten. ab,schaltete. ab,schaltetest. ab,schaltete. ab,schalteten. ab,schaltetet. ab,schalteten. ab,abgeschaltet,,,ab. schalten,to switch off,Ich schalte das Licht ab.,I switch off the light.,,,
9,reg,abonnieren,abonniere,abonnierst,abonniert,abonnieren,abonniert,abonnieren,abonnierte,abonniertest,abonnierte,abonnierten,abonniertet,abonnierten,abonniert,,,abonnieren,to subscribe,Ich abonniere eine Zeitung.,I am subscribing to a newspaper.,,,
10,reg,absolvieren,absolviere,absolvierst,absolviert,absolvieren,absolviert,absolvieren,absolvierte,absolviertest,absolvierte,absolvierten,absolviertet,absolvierten,absolviert,,,absolvieren,to complete/to graduate,Er absolviert sein Studium.,He is completing his studies.,,,
11,reg,achten ,achte,achtest,achtet,achten,achtet,achten,achtete,achtetest,achtete,achteten,achtetet,achteten,geachtet,,auf,"respect, think of, watch",to pay attention,Du musst auf den Verkehr achten.,You must pay attention to the traffic.,,,
12,reg,adoptieren,adoptiere,adoptierst,adoptiert,adoptieren,adoptiert,adoptieren,adoptierte,adoptiertest,adoptierte,adoptierten,adoptiertet,adoptierten,adoptiert,,,adoptieren,to adopt,Sie adoptieren ein Kind.,They are adopting a child.,,,
13,reg,ahnen,ahne,ahnest,ahnt,ahnen,ahnt,ahnen,ahnte,ahntest,ahnte,ahnten,ahntet,ahnten,geahnt,,,ahnen,to suspect/to have a premonition,Ich ahne nichts Gutes.,I suspect nothing good.,,,
14,reg,akzentuieren ,akzentuiere,akzentuierst,akzentuiert,akzentuieren,akzentuiert,akzentuieren,akzentuierte,akzentuiertest,akzentuierte,akzentuierten,akzentuiertet,akzentuierten,akzentuiert,,,"accentuate, emphasize",to accentuate / emphasize,Der Redner akzentuierte die wichtigsten Punkte.,The speaker emphasized the most important points.,,,
15,reg,an.   zeigen,zeige. an,zeigst. an,zeigt. an,zeigen. an,zeigt. an,zeigen. an,zeigte. an,zeigtest. an,zeigte. an,zeigten. an,zeigtet. an,zeigten. an,angezeigt,,,an. zeigen,to show/to display,Die Uhr zeigt die Zeit an.,The clock shows the time.,,,
16,unr,an.  bieten,biete. an,bietest. an,bietet. an,bieten. an,bietet. an,bieten. an,bot. an,botest. an,bot. an,boten. an,botet. an,boten. an,angeboten,,,an. bieten,to offer,Er bietet mir einen Kaffee an.,He offers me a coffee.,,,
17,unr,an.  erkennen,erkenne. an,erkennst. an,erkennt. an,erkennen. an,erkennt. an,erkennen. an,erkannte. an,erkanntest. an,erkannte. an,erkannten. an,erkanntet. an,erkannten. an,anerkannt,(sich),,an. erkennen,to recognize,Ich erkenne dich auf dem Foto an.,I recognize you in the photo.,,,
18,unr,an.  fangen ,fange.  an,fängst.  an,fängt.  an,fangen.  an,fangt.  an,fangen.  an,fing.  an,fingst.  an,fing.  an,fingen.  an,fingt.  an,fingen.  an,angefangen ,,mit,an. fangen,to begin/to start,Wir fangen jetzt an.,We are starting now.,,,
19,reg,an.  fordern,fordere. an,forderst. an,fordert. an,fordern. an,fordert. an,fordern. an,forderte. an,fordertest. an,forderte. an,forderten. an,fordertet. an,forderten. an,angefordert,,,"require, request, solicit",to request / demand,Der Lehrer fordert mehr Disziplin an.,The teacher demands more discipline.,,,
20,unr,an.  haben,habe.  an ,hast.  an,hat.  an,haben.  an,habt.  an,haben.  an,hatte.  an,hattest.  an,hatte.  an,hatten.  an,hattet.  an,hatten.  an,angehabt,,,an. haben,to have on/to be wearing,Er hat ein blaues Hemd an.,He is wearing a blue shirt.,,,
21,reg,an.  kreuzen ,kreuze. an,kreuzt. an,kreuzt. an,kreuzen. an,kreuzt. an,kreuzen. an,kreuzte. an,kreuztest. an,kreuzte. an,kreuzten. an,kreuztet. an,kreuzten. an,angekreuzt,,,"tick, check",to tick / mark,Bitte kreuzen Sie die richtige Antwort an.,Please tick the correct answer.,,,
22,reg,an.  legen,lege. an,legst. an,legt. an,legen. an,legt. an,legen. an,legte. an,legtest. an,legte. an,legten. an,legtet. an,legten. an,angelegt,,,an. legen,to put on/to invest,Er legt sein Geld an.,He is investing his money.,,,
23,reg,an.  melden,melde. an,meldest. an,meldet. an,melden. an,meldet. an,melden. an,meldete. an,meldetest. an,meldete. an,meldeten. an,meldetet. an,meldeten. an,angemeldet,sich,bei (D) für (A),an. melden,to register/to sign up,Ich melde mich für den Kurs an.,I am signing up for the course.,,,
24,unr,an.  nehmen,nehme. an,nimmst. an,nimmt. an,nehmen. an,nehmt. an,nehmen. an,nahm. an,nahmst. an,nahm. an,nahmen. an,nahmt. an,nahmen. an,angenommen,,,an. nehmen,to accept,Er nimmt das Geschenk an.,He accepts the gift.,,,
25,reg,an.  passen,passe. an,passt. an,passt. an,passen. an,passt. an,passen. an,passte. an,passtest. an,passte. an,passten. an,passtet. an,passten. an,angepasst,,,"register, announce",to adapt / adjust,Er passt die Strategie an die neue Situation an.,He adapts the strategy to the new situation.,,,
26,reg,an.  probieren ,probiere. an,probierst. an,probiert. an,probieren. an,probiert. an,probieren. an,probierte. an,probiertest. an,probierte. an,probierten. an,probiertet. an,probierten. an,angeprobiert,sich,,an. probieren,to try on,Ich muss die Hose anprobieren.,I have to try on the pants.,,,
27,reg,an.  schauen,schaue.  an,schaust.  an,schaut.  an,schauen.  an,schaut.  an,schauen.  an,schaute.  an,schautest. an,schaute.  an,schauten.  an,schautet.  an,schauten.  an,angeschaut,sich,,look at,to look at,Wir schauen uns einen Film an.,We are watching a movie.,,,
28,unr,an.  sehen ,sehe.  an,siehst.  an,sieht.  an,sehen.  an,seht.  an,sehen.  an,sah.  an,sahst.  an,sah.  an,sahen.  an,saht.  an,sahen.  an,angesehen ,sich,,nhìn kĩ/ see,to watch / look at,Er sieht sich die Bilder an.,He looks at the pictures.,,,
29,reg,an.  spannen,spanne. an,spannst. an,spannt. an,spannen. an,spannt. an,spannen. an,spannte. an,spanntest. an,spannte. an,spannten. an,spanntet. an,spannten. an,angespannt,,,"try on, fit",to tense / strain,Sie spannt ihre Muskeln an.,She tenses her muscles.,,,
30,reg,an.  stellen ,stelle. an,stellst. an,stellt. an,stellen. an,stellt. an,stellen. an,stellte. an,stelltest. an,stellte. an,stellten. an,stelltet. an,stellten. an,angestellt,,,"harness, strain, constrict",to employ / hire,Die Firma stellt neue Mitarbeiter an.,The company hires new employees.,,,
31,reg,an.  strengen,strenge. an,strengst. an,strengt. an,strengen. an,strengt. an,strengen. an,strengte. an,strengtest. an,strengte. an,strengten. an,strengtet. an,strengten. an,angestrengt,,,"lean, hire, employ, manage",to exert / strain,Das Lernen strengt ihn sehr an.,Studying exhausts him a lot.,,,
32,unr,an.  ziehen,ziehe. an,ziehst. an,zieht. an,ziehen. an,zieht. an,ziehen. an,zog. an,zogst. an,zog. an,zogen. an,zogt. an,zogen. an,angezogen,sich,,an. ziehen,to put on clothes,Ich ziehe meine Jacke an.,I am putting on my jacket.,,,
33,unr,anhalten,halte. an,hältst. an,hält. an,halten. an,haltet. an,halten. an,hielt. an,hieltst. an,hielt. an,hielten. an,hieltet. an,hielten. an,angehalten,,,anhalten,"to stop (a vehicle, etc.)",Der Bus hält an.,The bus is stopping.,,,
34,reg,anrufen,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,rief an,riefst an,rief an,riefen an,rieft an,riefen an,angerufen,,,anrufen,to call (on the phone),Ich rufe dich später an.,I'll call you later.,,,
35,reg,anschreiben,schreibe an,schreibst an,schreibt an,schreiben an,schreibt an,schreiben an,schrieb an,schriebst an,schrieb an,schrieben an,schriebt an,schrieben an,angeschrieben,,,anschreiben,to write to/to contact,Ich werde ihn anschreiben.,I will write to him.,,,
36,reg,antworten,antworte,antwortest,antwortet,antworten,antwortet,antworten,antwortete,antwortetest,antwortete,antworteten,antwortetet,antworteten,geantwortet,dir (V dir auf Object),auf (A),antworten,to answer,Sie antwortet auf die Frage.,She is answering the question.,,,
37,reg,arbeiten.  + bei,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,arbeitete,arbeitetest,arbeitete,arbeiteten,arbeitetet,arbeiteten,gearbeitet,,"an, mit (D)",arbeiten bei,to work at/for (a company),Ich arbeite bei Google.,I work at Google.,,,
38,reg,arbeiten.  + für,,,,,,,,,,,,,,,,arbeiten für,to work ,Ich arbeite für eine Bank.,I work for a bank.,,,
39,reg,ärgern,ärgere,ärgerst,ärgert,ärgern,ärgert,ärgern,ärgerte,ärgertest,ärgerte,ärgerten,ärgertet,ärgerten,geärgert,sich,über (A),ärgern,to annoy,Das ärgert mich.,That annoys me.,,,
40,reg,atmen,atme,atmest,atmet,atmen,atmet,atmen,atmete,atmetest,atmete,atmeten,atmetet,atmeten,geatmet,,,atmen,to breathe,Er atmet tief ein.,He is breathing deeply.,,,
41,reg,attraktivieren,attraktiviere,attraktivierst,attraktiviert,attraktivieren,attraktiviert,attraktivieren,attraktivierte,attraktiviertest,attraktivierte,attraktivierten,attraktiviertet,attraktivierten,attraktiviert,,,attractive ,to make attractive,Die Stadt will den Park attraktivieren.,The city wants to make the park more attractive.,,,
